# dari http://www.geocities.com/CapeCanaveral/1999/, last mod 1995-11-29
# "You can download English-Indonesian dictionary (323k) that I made. Use WINZIP.EXE to unpack the file. I use dbf file (dBase III+). It has over that 17,000 words. This dictionary is designed to help us (Indonesian) reading English literatures, so I omit simple words that everybody usually knows. You may modify it to meet your needs. It's for free. It's for end user only, not commercial. You can distribute this file to everybody who needs it."
"ENGLISH,C,20"	"INDONESIA,C,50"
"obscure"	"gelap,tdk jelas,tersembunyi,kabur,tdk terkenal"
"obscurity"	"hal kekaburan/ketdkjelasan/ketidakterkenalan"
"obsequies"	"upacara pemakaman"
"obsequious"	"terlalu patuh/menurut,merendahkan diri"
"observe"	"memperhatikan,mengamati,mengawasi,menaati,meraya-"
"observe"	"kan,menjlnkan,memperingati,menyatakan,mengemukakan"
"observable"	"patut diperhatikan,dpt dilihat"
"observance"	"ketaatan,hal merayakan,peringatan"
"observant"	"penuh pengamatan,tajam penglihatan,taat"
"observatory"	"tempat mengemati bintang2"
"obsess"	"mengganggu pikiran"
"obsession"	"gangguan pikiran"
"obsolete"	"ketinggalan jaman,lapuk"
"obsolescent"	"mjd lapuk,tdk dipakai lagi"
"obstacle"	"halangan,ringtangan"
"obstinate"	"keras kepala,tdk mudah diatasi,pantang mundur,-"
"obstinate"	"gigih"
"obstinacy"	"kekerasan kepala,kegigihan"
"obstruct"	"menghalangi,merintangi"
"obtain"	"membeli,mendpt,memperoleh,berlaku,dijlnkan"
"obtainable"	"dpt dibeli/diperoleh"
"obtrude"	"menonjolkan diri,memaksakan kehendak"
"obtrusive"	"bersifat/bersikap menonjolkan diri"
"obtuse"	"(sudut) tumpul,lamban,bodoh"
"obvious"	"mudah dilihat/dimengerti,kentara,jelas terlihat"
"occation"	"saat yg tepat,sebab,alasan"
"occational"	"kadang2,tdk sering"
"occult"	"tersembunyi,rahasia,gaib,teka-teki"
"occupy"	"menempati,mendiami,memiliki,menduduki,berlangsung,"
"occupy"	"memenuhi,siibuk dgn"
"occupier"	"penghuni"
"occupant"	"penghuni"
"occupation"	"pendudukan,pekerjaan,hal mendiami"
"occur"	"tdj,berlangsung,berlaku,terdpt,berada,terpikir,"
"occur"	"terlintas"
"occurence"	"kejadian,peristiwa"
"ocular"	"berkenaan dgn mata/penglihatan"
"ocular proof"	"bukti nyata"
"oculist"	"dokter mata"
"odd"	"ganjil,tinggal sebelah,lebih sedikit,kemungkinan"
"oddity"	"keganjilan,ketdklaziman"
"oddly"	"dgn aneh/ganjil"
"oddments"	"sisa2,campuran barang2 beragam jenisnya"
"odd"	"the ~ is against us:tdk ada kemungkinan utk kami"
"odd"	"be at ~ with:berselisih dgn"
"odd"	"~s & ends:campuran tetek bengek"
"off"	"dekat,berangkat"
"off colour"	"kurang sehat"
"off one's head"	"sinting,gila"
"off & on"	"kadang2"
"offhand"	"sembarangan,seenaknya saja,kurang sopan"
"offal"	"jeroan hewan (utk dimakan),kotoran,sampah"
"offence"	"kesalahan,pelanggaran,kejahatan,dosa,penghinaan,"
"offence"	"penyerangan,menyinggung perasaan,menjengkelkan"
"offend"	"bersalah,menyinggung perasaan,menjengkelkan"
"offender"	"org yg bersalah"
"offensive"	"menyerang"
"offer"	"menawarkan,menganjurkan,mempersembahkan pd Tuhan"
"offertory"	"uang kolekte gereja"
"office"	"kantor,departemen,kementerian,jabatan,kedudukan,"
"office"	"tugas,jasa,pertolongan,kesediaan"
"officer"	"perwira,pegawai tinggi/pemerintah,pengurus"
"officer of state"	"menteri"
"officer"	"custom ~:pegawai pabean"
"official"	"resmi"
"officiate"	"menjabat,bertugas"
"officious"	"suka menolong/turut campur"
"offing"	"bagian laut yg jauh tapi tampak"
"offset"	"mengimbangi,mengganti"
"offspring"	"keturunan"
"ogle"	"memandang dgn rindu,bermain mata,mengerling"
"oilcake"	"makanan ternak dr biji2an"
"oil colour"	"cat minyak"
"oilskin"	"kain yg tahan air"
"olden"	"dulu"
"oligarchy"	"kelompok org yg berkuasa (di negara)"
"olive"	"pohon/buah zaitun,kuning langsat"
"olive"	"hold out the ~ branch:sedia berdamai"
"omelette"	"telur dadar"
"omen"	"alamat,pertanda"
"ominous"	"alamat buruk"
"omit"	"melalaikan,melampaui,meninggalkan,menghilangkan"
"omission"	"sesuatu yg dilampaui/ditinggalkan"
"omnibus"	"bis"
"omnibus bill"	"undang2 utk banyak tujuan"
"omnibus volume"	"buku2 yg dijilid mjd 1"
"omnipotent"	"maha kuasa"
"omniscient"	"maha tahu"
"omnivorous"	"omnivora"
"onus"	"kewajiban,beban,tugas"
"onward"	"maju"
"opal"	"batu baiduri"
"opaque"	"tdk tembus cahaya,kabur,kusam"
"onerous"	"memerlukan usaha,memberatkan"
"onlooker"	"penonton,org yg melihat suatuu kejadian"
"opera glasses"	"teropong opera"
"operatic"	"berkenaan dgn opera"
"onset"	"serangan,permulaan"
"ooze"	"lumpur cair halus di dsr sungai/danau,mengalir"
"ooze"	"cairan pekat (darah) yg mengalir lewat celah kecil"
"pact"	"persekutuan,perjanjian,pakta"
"paddock"	"lap rumput kecil utk kuda"
"paddy"	"padi"
"paddy field"	"sawah"
"padre"	"pendeta.paderi"
"page"	"hlm,anak laki pelayan hotel/kelab"
"pageant"	"pawai,arak2an"
"pageantry"	"peragaan kebagusan/kemewahan"
"pail"	"ember"
"oversee"	"mengawasi,mengontrol,mengurus"
"overseer"	"mandor,pengawas"
"overstep"	"melampaui,melangkahi"
"overrate"	"menilai terlalu tinggi"
"vellum"	"kertas kulit"
"velvet"	"kain beledu/beludru"
"vast"	"sangat besar,luas sekali"
"verb"	"kata kerja"
"verandah"	"beranda"
"veracious"	"betul,tulus,benar"
"veracity"	"kebenaran,ketulusan"
"verily"	"betul2,sungguh"
"nail"	"kuku,paku"
"nail"	"on the ~:segera"
"nail"	"hit the ~ on the head:mengatakan/berbuat yg tepat"
"naive"	"bertingkah laku lurus(krn muda/blm pengalaman),"
"naive"	"bersahaja"
"naite"	"kelurusan,hal bersahaja,kebodohan"
"nakedness"	"ketelanjangan"
"naked"	"telanjang,gundul,terbuka"
"name"	"call one's ~s:mencaci seseorg"
"namely"	"yakni,ialah"
"namesake"	"org yg namanya sama dgn org lain"
"nap"	"tidur siang,permukaan kain bulu"
"nap"	"be caught ~ping:dikejutkan,blm siap"
"napalm bomb"	"bom berisi bensin beku"
"nape"	"tengkuk,kuduk"
"naphta"	"bahan utk membakar"
"naphtalene"	"bahan pencegah serangga pd pakaian dll"
"napkin"	"serbet"
"nappy"	"pokok"
"narate"	"menceritakan"
"narrow"	"sempit,kecil,sedikit,nyaris"
"narrowminded"	"picik,pikiran sempit"
"narrowness"	"kepicikan,kesempitan"
"narrow search"	"pencarian dgn sungguh2"
"nasal"	"berkenaan dgn hidung,sengau"
"nasty"	"kotor,tdk menyenangkan,menakutkan,berbahaya,cang-"
"nasty"	"gung"
"nationalize"	"menasionalkan,mjdkan milik bangsa"
"native"	"berkenaan dgn tempat kelahiran/asal/bakat/pembawa-"
"native"	"an,pribumi,berasal dr"
"nativity"	"kelahiran (N~:kelahiran Yesus)"
"Nativity play"	"menceritakan kelahiran Yesus"
"natural"	"alam,biasa,wajar,normal"
"naturalist"	"ahli tumbuhan/hewan"
"naturalize"	"memberi hak kewarganegaraan,memasukkan kata asing-"
"naturalize"	"ke dlm bhs sendiri"
"nature"	"alam,kehidupan sederhana tanpa peradaban,sifat2,"
"nature"	"telanjang,pembawaan,perangai,jenis,macam"
"ill-natured"	"bertabiat buruk"
"human nature"	"sifat mns"
"naughty"	"tdk menurut,nakal,mengganggu"
"nausea"	"rasa mual"
"nauseous"	"memualkan,memuakkan,jijik"
"nauseate"	"memualkan,memuakkan"
"nautical"	"berkenaan dgn perkapalan/pelayaran"
"naval"	"berkenaan dgn AL"
"navigation"	"ilmu pelayaran/pesawat"
"nay"	"tdk,jangan,tdk/bukan itu saja melainkan/bahkan..."
"nuzzle"	"menekan/mengusap hidung"
"nutriment"	"makanan bergizi,hara"
"nutrition"	"proses penyediaan/penerimaan gizi,pengetahuan gizi"
"nutritious"	"bergizi tinggi,menyehatkan"
"nutmeg"	"biji pala"
"nut"	"kacang"
"walnut"	"buah kenari"
"groundnut"	"kacang cina,kacang tanah,mur"
"nutcrackers"	"alat pembelah buah berkulit keras"
"nutshell"	"ringkas/pendek"
"nude"	"telanjang"
"nudist"	"kaum telanjang (merasa menyehatkan badan)"
"nugget"	"bongksh emas/logam"
"nuisance"	"gangguan,org/sesuatu yg mengganggu"
"null"	"tdk berlaku/sah,batal"
"nullify"	"membatalkan,membuat tdk sah"
"numb"	"mematikan rasa,kaku,tdk bertenaga"
"numeral"	"bilangan,kata/tanda yg menunjukkan angka"
"numerator"	"pembilangan"
"numerous"	"banyak sekali"
"numskull"	"org tolol/dungu"
"nun"	"biarawati"
"nunnery"	"biara"
"nuncio"	"duta Paus"
"nuptial"	"berkenaan dgn perkawinan"
"nuptials"	"perkawinan"
"nursery"	"kamar anak,tempat menanam tanaman muda,keperawatan"
"nurseryman"	"pemilik tempat menanam tanaman muda"
"nurture"	"asuhan,didikan,pemeliharaan"
"nib"	"ujung pena"
"nibble"	"menggigit sedikit2,mengutil,mengerikiti"
"nice"	"menyenangkan,cerewat,cermat,teliti,rapi"
"nicety"	"kerapian,kecermatan,ketelitian"
"niche"	"kedudukan yg sesuai,tempat hiasan/patung"
"nick"	"menoreh,~ time:nyaris terlambat,tepat wkt"
"nickel"	"nekel,mata uang USA 5 sen"
"nickname"	"nama panggilan,julukan"
"nightfall"	"menjelang senja"
"nightmare"	"mimpi buruk/mengerikan"
"nil"	"nol"
"nimble"	"cekatan,tangkas,gesit"
"nimbly"	"dgn cekatan/tangkas/gesit"
"nincompoop"	"org bodoh/tolol"
"nine"	"a ~ days' wonder:sesuatu yg menarik perhatian utk-"
"nine"	"a ~ days' wonder:beberapa hari saja"
"ninepins"	"spt bowling di tanah"
"nitre"	"sendawa,salpeter"
"nitrate"	"asam sendawa"
"nitrit"	"asam sendawa"
"nitro-glycerine"	"bahan peledak yg kuat"
"nip"	"seteguk minuman keras,cubitan,menghentikan pertum-"
"nip"	"buhan/perkembangan,bergegas"
"nipper"	"penjepit,pinset,anak kecil"
"nectar"	"madu bunga"
"nonentity"	"org/sesuatu yg tdk penting"
"noisome"	"mengganggu,berbau busuk,menjijikkan"
"nook"	"tempat yg tersembunyi/sunyi,sudut sebelah dlm"
"noontide"	"tengah hari"
"noose"	"jerat,gelung"
"nonce"	"for the ~:hanya utk sekarang/kali ini saja"
"silo"	"bangunan kedap udara utk menyimpan makanan ternak"
"silt"	"endapan lumpur,berlumpur"
"silvan"	"mengenai desa"
"simile"	"perumpamaan,tamsil"
"sizzle"	"desir,desau"
"skate"	"sepatu peluncur es,ikan laut bsr pipih"
"skein"	"gulungan benang sutera/wol"
"skiff"	"perahu kecil"
"skewer"	"tusuk sate/daging"
"sinuous"	"berkelok2,penuh tikungan"
"sip"	"pengisapan benda cair"
"siphon"	"pipa melengkung utk memindahkan cairan,botol air-"
"siphon"	"soda"
"sire"	"ayah,maharaja"
"siren"	"peri laut,penggoda laki2,sirene"
"sirloin"	"daging dr pinggang lembu"
"site"	"tempat"
"six"	"at 6 & 7:kead kacau-balau"
"sixpence"	"mata uang Iggris"
"size up"	"menilai,mengambil kesimpulan,menaksir"
"sizeable"	"agak besar"
"size"	"kanji,bahan pelicin kain/kertas"
"skeleton"	"kerangka,tulang rangka"
"skeleton key"	"kunci maling"
"skeleton staff"	"jml ... sampai sedetil2nya"
"sketch"	"sketsa,sket"
"skid"	"penyangga roda,roda tergelincir"
"sinecure"	"kedudukan org dpt gaji tanpa bekerja"
"sinew"	"urat,otot,tenaga,kekuuatan"
"sinews of war"	"uang"
"sinister"	"beralamat buruk,malang"
"signatory"	"yg menandatangani perjanjian"
"siesta"	"tidur siang"
"sidle"	"berjln dgn malu/bingung"
"siege"	"kepungan"
"sieve"	"ayakan,saringan,tapis"
"sigh"	"mengeluh,menarik nafas panjang"
"sigh for"	"merindukan"
"shunt"	"memindahkan KA ke rel lain"
"shutter"	"penutup jendela,alat pembuka & penutup lensa"
"shrapnel"	"bom tangan yg menimbulkan hujan peluru/logam"
"shrew"	"perempuan cerewet,tikus kesturi"
"shrewish"	"pedas,tajam,silat lidah"
"shriek"	"berteriak,pekikan"
"shrift"	"waktu"
"shrill"	"melengking,nyaring,tinggi"
"shrimp"	"udang,org kerdil"
"shrine"	"kuil,makam/peti penyimpan peninggalan suci"
"shrivel"	"mengerut,kisut"
"shrub"	"semak belukar"
"shrubbery"	"tempat yg bersemak2"
"shroud"	"kain kafan,selubung,penutup,tali layar"
"shrewd"	"cerdas,tajam pikiran,hampir tepat"
"sill"	"ambang,rak pd jendela"
"shuttle"	"sekoci,anak torak,kumparan,bergerak maju mundur"
"shrunk"	"=shrink"
"shrug"	"mengangkat bahu"
"shudder"	"gemetar/menggigil krn takut/jijik"
"shun"	"menjauhkan diri/menghindari dr"
"sickle"	"arit,sabit"
"shorn"	"=shear"
"shod"	"=shoe"
"shone"	"=shine"
"shin"	"tulang kering"
"shilling"	"mata uang Inggris"
"shingle"	"kerikil,sirap"
"shire"	"bagian daerah di Inggris"
"shirk"	"mengelak,menjauhi,menyingkir"
"shirker"	"pengelak"
"shoal"	"pecahan beling/gelas,hancur berkeping2,bag laut -"
"shoal"	"yg dangkal"
"shrank"	"=shrink"
"sheaf"	"ikatan jerami,berkas2"
"shear"	"mencukur (bulu biri2)"
"shears"	"gunting bsr"
"shatter"	"(me)remuk(kan),hancur,memusnahkan,mengejutkan"
"shank"	"betis,tangkai jangkar,sendok,anak kunci"
"shamble"	"berjln dgn menyeret kaki"
"shepherd"	"penggembala,pembina,pemimpin (Kristus)"
"sheik"	"syeh"
"sextant"	"alat pengukur tinggi mthr (utk menentukan posisi -"
"sextant"	"kapal)"
"sever"	"memutus mjd 2,memutuskan hubungan,putus (tali)"
"sew"	"menjahit"
"shackle"	"belenggu,penghalang kebebasan"
"sexton"	"penjaga gereja,penggali liang kubur,pembunyi lon-"
"sexton"	"ceng gereja"
"shabby"	"compang-camping,jail,keji,tdk adil,lusuh,kisut"
"shabbier"	"=shabby"
"shabbiest"	"=shabby"
"settle"	"kursi panjang dr kayu"
"selvage"	"tepi tenunan yg dianyam"
"selvedge"	"tepi tenunan yg dianyam"
"sensibility"	"kepekaan perasaan,perasaan halus"
"sententious"	"angkuh,berlagak,suka memakai kata muluk"
"septuagenarian"	"org berumur 69-79 thn"
"serum"	"air darah"
"serpent"	"ular"
"serpentine"	"berbelit2,berkelok2"
"sequel"	"lanjutan,kelak,kemudian"
"seraglio"	"(tempat tinggal) perempuan piaraan"
"seraph"	"bidadari,malaikat"
"seraphic"	"spt bidadari/malaikat"
"senile"	"pikun (usia lanjut)"
"seemly"	"patut,pantas,sopan"
"seep"	"mengalir ke luar,merembes,tiris"
"seepage"	"perembesan,tirisan"
"seer"	"peramal"
"seesaw"	"mainan jungkat-jungkit"
"sediment"	"endapan"
"secular"	"duniawi"
"sedan"	"tandu"
"sedative"	"obat penenang"
"sedate"	"tenang,sungguh2,sopan"
"sedition"	"hasutan"
"seditious"	"bersifat menghasut"
"sedulous"	"tekun,gigih"
"sedentary"	"dikerjakan sambil duduk,duduk terus-menerus"
"segregate"	"memisahkan,menyendirikan"
"scraggy"	"kurus kering"
"scraggier"	"lebih kurus"
"scraggiest"	"paling kurus"
"screed"	"surat yg panjang lebar"
"scrawl"	"corat-coret,cakar ayam"
"scream"	"berteriak,memekiik,menjerit,mendesing"
"scream with laughter"	"tertawa terbahak2"
"scribe"	"ahli menulis surat,guru undang2 Yahudi"
"scribble"	"corat-coret,cakar ayam"
"scrimmage"	"pergumulan,bergulat"
"manuscript"	"naskah"
"typescript"	"naskah"
"scripture"	"Injil"
"scriptural"	"bdsrk Injil"
"scroll"	"gulungan kertas/kulit dgn naskah kuno"
"scruff"	"tengkuk (hewan)"
"scruffy"	"tdk rapi & kelihatan kasar"
"scullery"	"kamar utk cuci piring"
"scull"	"mendayung,dayung"
"scuffle"	"bergumul,berkelahi dgn kasar"
"scurry"	"berlari2 kecil"
"scurf"	"ketombe"
"scupper"	"lubang kapal utk pembuangan air"
"scythe"	"sabit bertangkai panjang,menyabit"
"sear"	"menghanguskan,membekukan (hati)"
"seal"	"anjing laut"
"scrap"	"berkelahi"
"score"	"kodi,beruntung"
"schooner"	"semacam kapal layar"
"scintillate"	"bersinar2,bercahaya"
"scion"	"keturunan bangsawan yg masih muda"
"scoff"	"mencemooh,mengejek"
"scoffer"	"pengejek"
"scold"	"menyalahkan,memarahi,menegur,mengomel"
"scone"	"semacam kue"
"scoot"	"lari cepat2"
"scalpel"	"pisau bedah"
"scalp"	"kulit & rambut kepala,menguliti kepala"
"scapegoat"	"kambing hitam"
"scarab"	"semacam kumbang"
"scarf"	"selendang,syal"
"scathing"	"tajam,pedas"
"scavenger"	"burung bangkai,penyapu jln"
"sceptre"	"tongkat kerajaan"
"scare"	"menakutkan,mengejutkan"
"scaremonger"	"org yg suka menakut2i"
"scot-free"	"go ~:tdk diapa2kan/dihukum/mendpt luka"
"scoundrel"	"bajingan"
"schism"	"perpecahan,pemisahan"
"schismatic"	"menyebabkan perpecahan"
"scab"	"kudis,kurap,kerak kering pd luka,penipu,curang"
"scabby"	"berkurap,berkudis"
"scabbard"	"selongsong pedang,bayonet/belati"
"scabies"	"kudis,kurap"
"sausage"	"sosis,usus babi"
"saucer"	"lepek"
"saucepan"	"panci"
"saturnine"	"suram,muram"
"saunter"	"berjln perlahan2"
"savage"	"biadab,liar,kejam,bengis"
"savagery"	"kebiadaban,kebengisan,kekejaman"
"savant"	"cendekiawan"
"sari"	"pakaian nasional wanita India"
"sardine"	"ikan sarden"
"sapphire"	"batu permata nilam,safir"
"sank"	"=sink"
"sanguine"	"penuh harapan,optimis,berwajah merah"
"salver"	"bakii dr perak/logam lain"
"sarcophagus"	"peti mayat dr batu"
"sarong"	"sarung"
"sartorial"	"berkenaan dgn tukang jahit,berkenaan dgn pakaian-"
"sartorial"	"laki2"
"sash"	"sabuk,selempang,selendang"
"sash window"	"jendela sorong"
"sashcord"	"tali jendela"
"sate"	"=satiate"
"satchel"	"tas sekolah"
"satin"	"kakin satin/sutera yg menkilat"
"saviour"	"penyelamat"
"savour"	"rasa,khasiat,lezat"
"savour of"	"membayangkan"
"savoury"	"makanan yg pedas/sedap"
"salvation"	"penyelamat (dosa)"
"salve"	"salep,pengobat sakit hati,pelega"
"salvo"	"tembakan serentak"
"sanctify"	"menyucikan,menguduskan"
"sanctification"	"pengudusan,penyucian"
"sanctimonious"	"munafik,pura2 suci"
"sanctity"	"kesucian,kekeramatan"
"sanction"	"hak/izin dr berwenang utk melakukan sesuatu"
"sanction"	"persejutuan,dorongan,hukuman thd pelanggar"
"sanctuary"	"tempat suci (gereja),tempat perlindungan,suaka"
"sanctum"	"tempat/kamar pribadi"
"sang-froid"	"ketenangan dlm menghadapi bahaya"
"sane"	"waras,sehat,masuk akal"
"sanely"	"scr masuk akal,dgn waras"
"sanity"	"kewarasan"
"sardonic"	"bersifat mencemooh/mengejek"
"saline"	"mengandung garam"
"saliva"	"air liur/ludah"
"sallow"	"pucat"
"salmon"	"ikan salem warna kuning kemerah2an"
"salubrious"	"menyegarkan,menyehatkan (udara)"
"salable"	"dpt dijual,mungkin laku"
"sago"	"sagu"
"sahib"	"tuan,pria (India)"
"safari"	"perjlnan darat"
"saga"	"cerita lama kepahlawanan,hikayat"
"sagacious"	"bijaksana,berpikiran sehat,cerdik"
"sagacity"	"akal sehat,kebijaksanaan"
"sage"	"bijaksana,tanaman yg daunnya utk bumbu"
"salutation"	"hormat,salam"
"salute"	"pemberian hormat/salam"
"salutary"	"baik,menyehatkan"
"salon"	"ruang bsr utk terima tamu,tempat pamer karya seni"
"sable"	"hitam,(bulu) musang hitam"
"ruthless"	"bengis,tdk kenal belas kasihan"
"saboteur"	"penyabot"
"sabre"	"pedang melengkung (pd pasukan berkuda)"
"sachet"	"kantung kecil yg diberi wangi2an"
"sacred"	"berkenaan dgn Tuhan/agama/suci/kudus/keramat"
"sacrosanct"	"diilindungi krn keramat/suci"
"sag"	"ambles,melengkung ke bawah"
"salient"	"menonjol,kentara,bagus,mudah terlihat"
"salient"	"desakan ke daerah musuh"
"ruse"	"tipu muslihat,curang utk mendpt sesuatu"
"rut"	"bekas roda pd tanah lembek"
"rut"	"get into a ~:berurat akar"
"russet"	"(apel) coklat kemerah2an"
"rust"	"karat,menurun mutunya krn tdk dipakai"
"rust"	"sdh tdk terlatih lagi"
"rustic"	"spt/gaya desa,sederhana"
"rupture"	"perpecahan,pemecahan,membocorkan,memutuskan"
"rue"	"penuh sesal"
"rug"	"permadani,selimut tebal (dr wol)"
"rum"	"minuman keras dr air tebu,aneh,ganjil"
"ruminate"	"memikirkan,merenungkan"
"rubbish"	"sampah,kotoran,omong kosong"
"rubber"	"karet,penghapus,ruber set"
"ruck"	"kerut,lipatan;common ~:rakyat jelata,barang2 biasa"
"ruddy"	"kemerah2an (wajah/pipi),kelihatan segar & sehat"
"ruction"	"pertengkaran,caci-maki,protes"
"rove"	"mengembara,berkeliaran"
"route"	"jln yg ditempuh"
"routemarch"	"gerak yg dilakukan prajurit dlm latihan"
"encase"	"menyarungkan,membungkus"
"encircle"	"mengelilingi,melingkari,mengepung"
"enervate"	"melemahkan (badan,iman)"
"enfeeble"	"memperlemah (org,usahanya)"
"enfold"	"memeluk,mendekap,membungkus,melipat,menyelubungi"
"enforce"	"melaksanakan,memaksa(kan),mendesak"
"enfranchise"	"memberi hal memilih,membebaskan,memerdekakan"
"engender"	"menyebabkan,menimbulkan,mengakibatkan"
"engrave"	"mengukir,memahat"
"engulf"	"menelan,meliputi"
"enhance"	"memperbsr,menambah,meninggikan"
"enjoin"	"menyuruh,memerintah"
"enigma"	"pertanyaan,teka-teki,kead yg membingungkan"
"enigmatic"	"mrpk teka-teki,membingungkan"
"enliven"	"menyemarakkan,meramaikan,menghidupkan"
"enmest"	"menjala,menjerat"
"enmity"	"kebencian,permusuhan"
"enlist"	"memperoleh (bantuan),masuk tentara"
"ennui"	"kelesuan pikiran krn tdk ada kerjaan"
"enormity"	"kejahatan bsr,kekejaman"
"enormous"	"maha bsr"
"enquire"	"=inquire"
"enrage"	"memarahkan"
"enrapture"	"sangat menggembirakan/membesarkan hati"
"enroll"	"mendaftarkan/mencatatkan nama"
"enroute"	"dlm perjlnkan ke"
"enslave"	"memperbudak"
"ensure"	"memastikan,menentukan,mengasuransikan"
"entail"	"menyebabkan perlu,mengharuskan"
"enthrall"	"mengasyikkan,mempesonakan"
"enthrone"	"menobatkan"
"entice"	"membujuk,menggoda"
"entity"	"sesuatu yg berwuujud,kesatuan,perwujudan"
"entitle"	"memberi judul,mempunyai hak utk"
"entomology"	"ilmu serangga"
"entrails"	"isi perut,usus"
"entrant"	"peserta"
"entrance"	"mengkhayalkan,mempesona,pintu/jln/hal masuk"
"endemic"	"(penyakit) scr teratur tdpt di suatu bangsa/suku"
"encroach"	"melampaui,melanggar"
"endanger"	"membahayakan"
"encampment"	"perkemahan (tentara)"
"enamoured of"	"jatuh cinta kpd"
"enable"	"memungkinkan,mengizinkan"
"emulsion"	"cairan putih yg mengandung minyak/lemak"
"enact"	"menetapkan UU,memainkan,memerankan"
"empower"	"menguasakan,memberi kuasa"
"emplacement"	"landasan meriam"
"empress"	"istri kaisar"
"emulate"	"berusaha menandingi"
"enamel"	"email,lapisan mengkilat pd panci dll"
"empirical"	"berdsrkan percobaan & pengamatan"
"emphatic"	"tegas"
"emolument"	"pendptan,upah,gaji"
"emir"	"pangeran Arab"
"emissary"	"utusan,kurir (tujuan kurang baik)"
"emit"	"memancarkan,mengeluarkan,menyinarkan"
"eminent"	"tinggi,utama,ulung,unggul,istimewa,agung"
"eminently"	"amat sangat"
"Eminence"	"gelar utk Kardinal"
"embed"	"menancapkan,memancangkan,mencocokkan"
"ember"	"bara api"
"embellish"	"memperindah,menghiasi,menambah2 (cerita)"
"embellishment"	"embel2"
"embezzle"	"menggelapkan (uang),mencuri"
"embitter"	"menyakitkan hati,menimbulkan perasaan pahit"
"emblem"	"lambang,lencana"
"emblematic"	"bersifat lambang"
"embody"	"mengandung,mencakup,meliputi,mrpk bentuk dr,jelma"
"embodiment"	"penjelmaan"
"embolden"	"memberanikan,memberi semangat"
"elves"	"=elf"
"emaciated"	"kurus kering,merana"
"emaciation"	"kekurusan"
"emanate"	"muncul,berasal dr"
"emancipate"	"membebaskan,memerdekakan"
"emasculate"	"melemahkakn,mengebiri,membuat spt wanita"
"embalm"	"membalsem mayat"
"embankment"	"tembok utk menahan air (tambak)/landasan rel KA"
"embargo"	"perintah negara utk melarang berdagang dgn neg la-"
"embargo"	"in"
"embark"	"naik/memasukkan ke dlm kapal"
"embark on"	"mulai,mengambil bagian dlm"
"embarkation"	"hal naik kapal"
"embarrass"	"membingungkan,mengagetkan,memalukan"
"eligible"	"pantas dipilih"
"elixir"	"ramuan kuno yg diharapkan dpt memperpanjang usia-"
"elixir"	"mns (abadi)"
"elm"	"(kayu dr) pohon di Eropa"
"elocution"	"seni pidato"
"elongate"	"memanjangkan"
"elope"	"lari dr rumah dgn kekasih"
"eloquence"	"kelancaran berbicara/membujuk"
"eloquent"	"fasih/lancar bicara"
"elucidate"	"menerangkan,menjelaskan"
"elude"	"mengelakkan diri,menghindari"
"elusive"	"sukar dipahami/dicari/ditangkap"
"embrace"	"memeluk,merangkul,mendekap,menerima (tawaran),-"
"embrace"	"menganut,meliputi,mencakup"
"embrasure"	"lubang di dinding istana utk menembak"
"embrocation"	"minyak gosok"
"embroider"	"menyulam,membordir,mengembel2i,menambah2 cerita"
"embroidery"	"sulaman,sulam-menyulam"
"embroil"	"mempersangkutkan,melibatkan diri"
"embryo"	"janin,lembaga,bakal anak"
"embryonic"	"mengenai bakal anak"
"emend"	"membetulkan,memperbaiki kesalahan"
"emerald"	"batu permata zamrud"
"emerge"	"tampak,tampil,muncul,ketahuan,kelihatan"
"emery"	"ambril"
"emetic"	"obat yg menyebabkan muntah"
"electrode"	"kutub baterai"
"elegant"	"anggun,selera tinggi,cantik,indah,serasi"
"elegy"	"sajak/nyanyian sedih"
"elegiac"	"bersifat spt sajak/nyanyian sedih"
"elephant"	"white ~:barang2 berharga/merepotkan/tdk berguna"
"elf"	"peri kecil"
"elfin"	"berkenaan dgn peri"
"elicit"	"memancing2,mengeluarkan,mendpt (jwban)"
"elide"	"menghilangkan bunyi vokal/suku kata dlm percakapan"
"elision"	"penghilangan bunyi vokal/suku kata dlm percakapan"
"elevate"	"mengangkat,mempertinggi,memperbaiki (akal)"
"elevation"	"ketinggian,pengangkatan,bukit,gambar bangunan dr -"
"elevation"	"1 sisi"
"elevator"	"lift"
"element"	"in one's ~:suasana yg memuaskan"
"element"	"the ~s:cuaca,taufan"
"elemental"	"berkenaan dgn kekuatan alam,tdk dpt dikuasai"
"enchant"	"mempesonakan,menawan,menyenangkan,mengguna2i,-"
"enchant"	"menyihir"
"enchanter"	"org laki2 yg mempesona"
"enchantress"	"org wanita yg mempesona"
"enchantment"	"sesuatu yg mempesonakan"
"enclose"	"memagari,mengurung,melampirkan,menyertakan"
"enclosure"	"pagar,lampiran"
"encore"	"ulangi!,lagi!"
"encounter"	"perjumpaan scr kebetulan"
"encourage"	"memberi semangat,mendorong,memberanikan"
"encrusted"	"berkerak,berkulit keras,berlapiskan,bertatahkan"
"encumber"	"menghalangi,memberatkan,membebani"
"encumbrance"	"halangan,rintangan,beban"
"endwise"	"terbalik"
"endways"	"terbalik"
"end"	"cita2"
"endear"	"menimbulkan perasaan cinta"
"endearment"	"tindakan/kata yg menyatakan cinta"
