# dari http://www.geocities.com/CapeCanaveral/1999/, last mod 1995-11-29
# "You can download English-Indonesian dictionary (323k) that I made. Use WINZIP.EXE to unpack the file. I use dbf file (dBase III+). It has over that 17,000 words. This dictionary is designed to help us (Indonesian) reading English literatures, so I omit simple words that everybody usually knows. You may modify it to meet your needs. It's for free. It's for end user only, not commercial. You can distribute this file to everybody who needs it."
"ENGLISH,C,20"	"INDONESIA,C,50"
"kirk"	"gereja Skotlandia"
"kit"	"alat perkakas"
"kipper"	"ikan kecil yg diasap/diasin"
"knob"	"tombol,menonjol,bungkal kecil"
"knobbly"	"berjendul,bertonjol"
"khaki"	"seragam militer kuning kecoklatan"
"kestrel"	"burung elang kecil"
"keg"	"tong kecil"
"kennel"	"kandang anjing"
"kerb"	"tepi jalan,trotoar"
"kerchief"	"kain ikat kepala"
"kernel"	"inti,inti permasalahan"
"kettle"	"ceret,a pretty ~ of fish:kead canggung/serba salah"
"kettledrum"	"gendang"
"kidney"	"ginjal"
"kidnap"	"menculik"
"kid"	"anak kambing,kulit dr kulit anak kambing"
"kiddy"	"anak"
"ken"	"batas pengetahuan"
"kiln"	"tempat pembakaran kapur/batubara"
"kin"	"next of ~:saudara dekat"
"kine"	"sapi,lembu"
"kiosk"	"kios"
"kink"	"berbelit2"
"kinsfolk"	"sanak saudara"
"kinship"	"hubungan keluarga,kekeluargaan"
"kinsman/kinswoman"	"kerabat(laki2/perempuan)"
"kingfisher"	"burung kecil pemakan ikan di sungai"
"kindred"	"hubungan keluarga"
"kindle"	"menyalakan,mengobarkan semangat"
"kindling"	"bahan utk menyalakan api misalnya ranting kering"
"kangaroo"	"kangguru"
"kapok"	"kapuk"
"keel"	"lunas kapal,on an even keel:mantap,stabil"
"keel over"	"terjungkir"
"jut out"	"menjorok ke luar"
"jute"	"goni"
"juvenile"	"remaja"
"juxtapose"	"menempatkan berdampingan"
"juxtaposition"	"posisi berdampingan"
"jury-mast"	"tiang darurat"
"jurist"	"ahli hukum"
"jury"	"juri"
"juror"	"juri"
"jurisprudence"	"ilmu ttg hukum"
"jurisdiction"	"hal mengadili,daerah kekuasaan,kekuasaan hukum"
"juridical"	"berkenaan dgn hukum"
"junk"	"kapal layar Cina,barang rongsokan"
"juniper"	"pohon cemara yg buahnya utk minyak"
"juncture"	"hubungan"
"junction"	"at this ~:kead spt skr ini"
"jumper"	"baju hangat wol tanpa kancing,switer"
"jug"	"kendi"
"judicature"	"dewan hakim,kehakiman"
"judicial"	"berkenaan dgn pengadilan"
"judicious"	"bijaksana"
"jumble"	"bercampur baur"
"jumble-sale"	"jual macam2 biasanya utk amal"
"junket"	"dadih susu yg diberi gula,junketing:pesta makan2"
"juggernaut"	"keyakinan mengorbankan diri sendiri"
"jugular veins"	"pembuluh darah di leher,vena"
"juggle"	"akrobat melempar bola2 ke atas,menyulap"
"jubilant"	"menunjukkan kemenangan/kegembiraan"
"jubilation"	"sorak kegirangan"
"jubilee"	"ultah ke-50,silver ~:peringatan 25 thn"
"jubilee"	"diamond ~:peringatan 60 thn"
"joy"	"gembira"
"joyless"	"sedih"
"joyous"	"penuh kegembiraan"
"jowl"	"rahang,bag bawah wajah,cheek by jowl:sangat rapat"
"cheek by jowl"	"sangat rapat"
"jovial"	"riang gembira & ramah"
"joviality"	"keriangan & keramahan"
"joust"	"berkelahi dgn tombak sambil naik kuda"
"jot ... down"	"mencatat dgn cepat"
"jot"	"jml yg sangat kecil,not a jot:tdk sama sekali"
"journalese"	"bahasa surat kabar kelas 2"
"jostle"	"mendesak,mendorong"
"jolt"	"berguncang,mengguncang"
"jolly"	"gembira,jollity:kead gembira"
"jollyfication"	"suka ria,pesta2"
"joist"	"kayu palang"
"joiner"	"tukang kayu yg mahir"
"joinery"	"pekerjaan tukang kayu"
"jocund"	"gembira"
"jocose"	"bergurau,lucu"
"jocular"	"lucu,bergurau"
"jockey"	"joki,menipu"
"jam"	"selai"
"jamb"	"ambang pintu"
"jamboree"	"pertemuan besar2an"
"jag"	"ujung karang yg tajam"
"jade"	"batu permata hijau"
"jackal"	"serigala"
"jacket"	"kulit kentang"
"jaded"	"lesu,patah semangat"
"jab"	"pukulan pendek & cepat,menikam,menusuk"
"janitor"	"pesuruh"
"jangle"	"bunyi berdencing"
"jargon"	"bhs yg dipakai oleh kelompok2 tertentu"
"jasmine"	"=jasmin:bunga melati"
"jaunt"	"bertamasya"
"javelin"	"lembing"
"jay"	"burung yg berwarna cerah yg ribut bunyinya"
"jeer"	"mencemooh,mengejek,menertawakan"
"jemmy"	"linggis"
"jelly"	"agar2"
"jellyfish"	"ubur2"
"jeopardy"	"dlm bahaya"
"jeopardize"	"membahayakan"
"jerkin"	"jaket pendek ketat dr kulit"
"jersey"	"baju kaos"
"jetty"	"dermaga,pangkalan"
"jib"	"layar kecil berbentuk segi3"
"jibe"	"=gibe"
"jiffy"	"dlm sekejap"
"ivy"	"semacam tanaman merambat"
"ivory"	"gading"
