"a"
"ai"
"an"
"ang"
"ao"
"chun"
"cha"
"chai"
"chan"
"chang"
"chao"
"cheh"
"chen"
"cheng"
"chi"
"chia"
"chiang"
"chiao"
"chieh"
"chien"
"chih"
"chin"
"ching"
"chiu"
"chiung"
"cho"
"chou"
"chu"
"chu"
"chua"
"chuai"
"chuan"
"chuan"
"chuang"
"chueh, chueh"
"chui"
"chun"
"chun"
"chung"
"cha"
"chai"
"chan"
"chang"
"chao"
"cheh"
"chei"
"chen"
"cheng"
"chi"
"chia"
"chiang"
"chiao"
"chieh"
"chien"
"chih"
"chin"
"chiu"
"chiung"
"cho"
"chou"
"chu"
"chu"
"chua"
"chuai"
"chuan"
"chuan"
"chuang"
"chueh, chueh"
"chui"
"chun"
"ei"
"en"
"eng"
"erh"
"fa"
"fan"
"fang"
"fei"
"fen"
"feng"
"fo"
"fou"
"fu"
"ha"
"hai"
"han"
"hang"
"hao"
"hei"
"hen"
"heng"
"hm"
"hng"
"ho, he"
"hou"
"hsi"
"hsia"
"hsiang"
"hsiao"
"hsieh"
"hsien"
"hsin"
"hsing"
"hsiu"
"hsiung"
"hsu, hsu"
"hsuan, hsuan"
"hsueh, hsueh"
"hsun, hsun"
"hu"
"hua"
"huai"
"huan"
"huang"
"hui"
"hun"
"hung"
"huo"
"i, yi"
"jan"
"jang"
"jao"
"jen"
"jih"
"jo"
"jo, je"
"jou"
"ju"
"juan"
"jui"
"jun"
"jung"
"ka"
"kai"
"kan"
"kang"
"kao"
"kei"
"ken"
"keng"
"ko, ke"
"kou"
"ku"
"kua"
"kuan"
"kuang"
"kui"
"kun"
"kung"
"kuo"
"ka"
"kai"
"kan"
"kang"
"kao"
"kei"
"ken"
"keng"
"ko, ke"
"kou"
"ku"
"kua"
"kuai"
"kuan"
"kuang"
"kun"
"kung"
"kuo"
"la"
"lai"
"lan"
"lang"
"lao"
"lei"
"li"
"lia"
"liang"
"liao"
"lieh"
"lien"
"lin"
"ling"
"liu"
"lo"
"lo, le"
"lo, luo"
"lou"
"lu"
"lu"
"luan"
"lueh, lueh"
"lun"
"lung"
"m"
"ma"
"mai"
"man"
"mang"
"mao"
"mei"
"men"
"meng"
"mi"
"miao"
"mieh"
"mien"
"min"
"ming"
"miu"
"mo"
"mo"
"mou"
"mu"
"n"
"na"
"nai"
"nan"
"nang"
"nao"
"nei"
"nen"
"neng"
"ng"
"ni"
"nia"
"niao"
"nieh"
"nien"
"nin"
"ning"
"niu"
"no"
"no "
"nou"
"nu"
"nu"
"nuan"
"nueh, nueh"
"nung"
"o"
"o, e"
"o, e"
"ou"
"pa"
"pai"
"pan"
"pang"
"pao"
"pei"
"pen"
"peng"
"pi"
"piao"
"pieh"
"pien"
"pin"
"ping"
"po"
"pou"
"pu"
"pa"
"pai"
"pan"
"pang"
"pao"
"pei"
"pen"
"peng"
"pi"
"piao"
"pieh"
"pien"
"pin"
"ping"
"po"
"pu"
"sa"
"sai"
"san"
"sang"
"sao"
"se"
"sen"
"seng"
"sha"
"shai"
"shan"
"shang"
"shao"
"she"
"shei"
"shen"
"sheng"
"shih"
"sho"
"shou"
"shu"
"shua"
"shuai"
"shuan"
"shuang"
"shui"
"shun"
"so"
"sou"
"ssu, szu"
"su"
"suan"
"sui"
"sun"
"sung"
"ta"
"tai"
"tan"
"tang"
"tao"
"te"
"teng"
"ti"
"tiao"
"tieh"
"tien"
"ting"
"to"
"tou"
"tu"
"tuan"
"tui"
"tun"
"tung"
"ta"
"tai"
"tan"
"tang"
"tao"
"te"
"tei"
"ten"
"teng"
"ti"
"tia"
"tiao"
"tieh"
"tien"
"ting"
"tiu"
"to"
"tou"
"tsa"
"tsai"
"tsan"
"tsang"
"tsao"
"tseh"
"tsen"
"tseng"
"tso"
"tso"
"tsu"
"tsuan"
"tsui"
"tsun"
"tsung"
"tsa"
"tsai"
"tsan"
"tsang"
"tsao"
"tse"
"tsen"
"tseng"
"tso"
"tsou"
"tsu"
"tsuan"
"tsui"
"tsun"
"tsung"
"tu"
"tuan"
"tui"
"tun"
"tung"
"tzu"
"tzu"
"wa"
"wai"
"wan"
"wang"
"wei"
"wen"
"weng"
"wo"
"wu"
"ya"
"yai"
"yan"
"yang"
"yao"
"yeh"
"yin"
"ying"
"yo"
"yu"
"yu"
"yuan, yuan"
"yueh, yueh"
"yun, yun"
"yung"
