"tang","t'ang"
"tao","t'ao"
"te","t'e"
"teng","t'eng"
"ti","t'i"
"tiao","t'iao"
"tie","t'ieh"
"tian","t'ien"
"ting","t'ing"
"tuo","t'o"
"tou","t'ou"
"tu","t'u"
"tuan","t'uan"
"tui","t'ui"
"tun","t'un"
"tong","t'ung"
"da","ta"
"dai","tai"
"dan","tan"
"dang","tang"
"dao","tao"
"de","te"
"dei","tei"
"den","ten"
"deng","teng"
"di","ti"
"dia","tia"
"diao","tiao"
"die","tieh"
"dian","tien"
"ding","ting"
"diu","tiu"
"duo","to"
"dou","tou"
"ca","ts'a"
"cai","ts'ai"
"can","ts'an"
"cang","ts'ang"
"cao","ts'ao"
"ce","ts'eh"
"cen","ts'en"
"ceng","ts'eng"
"cou","ts'o"
"cuo","ts'o"
"cu","ts'u"
"cuan","ts'uan"
"cui","ts'ui"
"cun","ts'un"
"cong","ts'ung"
"za","tsa"
"zai","tsai"
"zan","tsan"
"zang","tsang"
"zao","tsao"
"ze","tse"
"zen","tsen"
"zeng","tseng"
"zuo","tso"
"zou","tsou"
"zu","tsu"
"zuan","tsuan"
"zui","tsui"
"zun","tsun"
"zong","tsung"
"du","tu"
"duan","tuan"
"dui","tui"
"dun","tun"
"dong","tung"
"ci","tz'u"
"zi","tzu"
"wa","wa"
"wai","wai"
"wan","wan"
"wang","wang"
"wei","wei"
"wen","wen"
"weng","weng"
"wo","wo"
"wu","wu"
"ya","ya"
"yai","yai"
"yan","yan"
"yang","yang"
"yao","yao"
"ye","yeh"
"yin","yin"
"ying","ying"
"yo","yo"
"you","yu"
"yu","yü"
"yuan","yüan, yuan"
"yue","yüeh, yueh"
"yun","yün, yun"
"yong","yung"
